Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2021,11,Male,16,Ambidextrous,182,28,186,1,Car,15,0.381,35,Baseball/Softball,1000,500,1000,1000,0,250,30,Left foot,105,110,Ring finger,February,Summer,Yes,No,Meat,Water,Physical education,6,8,5,Yes - broadband connection,In person,0,1,5,0,4,10,15,10,0,0,0,0,10,10,A lot,Graduate degree,Country,Super strength,Happy,Relative,"Wildlife, animals"
USA,MO,2021,11,Female,16,Right-Handed,178,25,166,1,Car,3,0.141,44,Other,700,600,500,600,900,1000,25,Same length,87,89,Ring finger,May,Fall,Yes,No,No favorite,Water,Science,7,8,4,Yes - other,Text messaging,30,35,3,2,7,4,0,0,9,4,3,5,10,0,Some,Graduate degree,Pop,Telepathy,Happy,Musician or singer,Environment
USA,MO,2021,10,Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2021,10,Male,14,Right-Handed,163,30,170,2,Car,10,0.689,51,Dancing,1000,1000,1000,1000,1000,1000,30,Same length,82,82,,May,Winter,Yes,No,Pizza/Pasta,Water,English,6.5,7,3,Yes - broadband connection,Internet chat or instant messaging,20,25,0,0,7,1,0.5,5,10,5,40,3,0,1,Some,Undergraduate degree,Pop,Fly,Happy,Other,Environment
USA,MO,2021,11,Male,17,Right-Handed,185,28,192,2,Car,4,0.432,38,Golf,900,750,100,250,800,850,28,Same length,105,115,Ring finger,May,Winter,Yes,No,Pizza/Pasta,Sports drink,Science,7,8,4,,"Myspace, Facebook, other social networking sites, or blog",8,8,6,1,12,8,4,2,20,1,40,8,10,6,Some,Graduate degree,Pop,Fly,Healthy,Doctor or nurse,Health
USA,MO,2021,9,Female,17,Right-Handed,175,24,179,2,Car,17,0.312,45,Other,999,687,987,864,569,604,23,Right foot,80,82,Ring finger,July,Fall,No,No,Rice/Noodle dishes,Coffee,English,6,9,4,Yes - broadband connection,Text messaging,300,280,6,0,10,0,2,3,5,2,16,1,25,7,Some,Graduate degree,Pop,Telepathy,Rich,Teacher,Education/Youth development
USA,MO,2021,12,Female,16,Right-Handed,157,27,155,2,Other,3min,0.4,70,Swimming,,,,,,,27,Same length,65,69,Same length,March,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,11,5,Yes - other,Text messaging,80,70,4,2,2,0,2,2,3,4,2,1,2,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,Education/Youth development
USA,MO,2021,11,Female,17,Right-Handed,157,22,153,1,Car,3,0.534,57,Basketball,3,4,2,1,6,5,23,Left foot,86,89,Ring finger,August,Summer,No,No,Rice/Noodle dishes,Water,Science,7,6,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,11,3,0,5,12,14,0,10,1,4,10,2,2,A lot,Graduate degree,Country,Telepathy,Famous,Relative,"Wildlife, animals"
USA,MO,2021,12,Male,16,Ambidextrous,169,29,176,1,Car,20,0.321,53,Football (American),200,300,700,700,600,900,29,Same length,80,70,Ring finger,December,Winter,Yes,No,Meat,Water,Physical education,6,6,3,Yes - other,Text messaging,30,30,5,2,4,2,12,8,10,3,80,4,12,1,Very little,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Arts, culture, sports"
USA,MO,2021,9,Male,17,Left-Handed,190,29,198,1,Car,17,0.436,47,Other,850,600,650,700,340,900,28,Right foot,76,77,Index finger,February,Summer,Yes,No,No favorite,Energy drink,Social studies,8,10,3,,"Myspace, Facebook, other social networking sites, or blog",15,30,8,0,10,7,9,0,7,5,14,0,1,2.5,A lot,Undergraduate degree,Rap/Hip hop,Super strength,Healthy,Sports person,Education/Youth development
USA,MO,2021,11,Male,17,Right-Handed,187,27,195,1,Car,7,0.315,39,Walking/Hiking,422,540,214,503,711,925,26,Right foot,112,120,Ring finger,February,Summer,No,No,No favorite,Water,Other,7,8,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,8,15,1,8,20,10,0,5,5,9,1,10,10,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Religious
USA,MO,2021,12,Female,17,Right-Handed,154,24,151,1,Car,25,0.379,32,Dancing,960,605,830,830,870,930,24,Same length,7.2,6.8,Ring finger,March,Fall,No,No,Meat,Tea,Art,7,9,3,Yes - broadband connection,Internet chat or instant messaging,20,35,40,1,7,1,10,1,3,1,10,0,0,1,Very little,Graduate degree,Rock and roll,Freeze time,Rich,Other,International aid
USA,MO,2021,11,Female,17,Right-Handed,167,28,118,2,Car,7,0.369,46,Swimming,728,524,653,897,125,359,27,Right foot,9,8,Index finger,January,Spring,Yes,No,Salads,Water,Other,6,9,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,50,15,3,20,0,0,0,10,2,22,18,24,3,A lot,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Relative,Health
USA,MO,2021,10,Male,14,Right-Handed,146,22,140,2,Car,10,0.327,43,Basketball,800,700,100,100,600,800,22,Same length,70,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2021,9,Female,17,Right-Handed,171,23,161,2,Car,12,0.44,56,Other,1000,1000,1000,1000,219,1000,24,Left foot,76,75,Index finger,January,Spring,Yes,No,Desserts,Energy drink,English,5,8,3,Yes - other,Text messaging,40,30,1,4,24,4,1,3,10,10,15,7,7,,A lot,Undergraduate degree,Pop,Telepathy,Rich,Business person,Education/Youth development
USA,MO,2021,9,Female,17,Right-Handed,175,24,179,2,Car,17,0.312,45,Other,999,687,987,864,569,604,23,Right foot,80,82,Ring finger,July,Fall,No,No,Rice/Noodle dishes,Coffee,English,6,9,4,Yes - broadband connection,Text messaging,300,280,6,0,10,0,2,3,5,2,16,1,25,7,Some,Graduate degree,Pop,Telepathy,Rich,Teacher,Education/Youth development
USA,MO,2021,12,,17,Right-Handed,169,29,179,1,Walk,4,0.376,49,Athletics,1000,488,357,508,339,610,28,Right foot,73,79,Ring finger,November,Fall,No,Yes,Pizza/Pasta,Water,Social studies,6,11,9,Yes - broadband connection,Internet chat or instant messaging,20,17,2,0,3,2,1,1,4,2,7,1,2,1,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Coach or club leader,Education/Youth development
USA,MO,2021,10,Male,15,Right-Handed,160,24,63,1,Car,15,0.3,72,Other,1,50,100,0,925,950,24,Same length,76,89,Ring finger,June,Summer,No,No,Meat,Sports drink,Mathematics and statistics,8,9,4,Yes - broadband connection,Cell phone,6,3,10,10,3,30,1,10,0,0.2,12,2,0,1,Some,Graduate degree,Techno/Electronic,Fly,Happy,Relative,Health
